sample_id,official_split,development_split,image_path,mask_path,has_defect,image_sha256
train-10000,train,train,data/extracted/KolektorSDD2/train/10000.png,data/extracted/KolektorSDD2/train/10000_GT.png,False,03863c70fe3c6f59c5165a5cb24611c48c5bb7e36d2e7d1cce071279afc212dc
train-10001,train,train,data/extracted/KolektorSDD2/train/10001.png,data/extracted/KolektorSDD2/train/10001_GT.png,False,7b2002a72a8f73a52a488e167c3369cb57a73ae37d479186f52a21a1eba953ad
train-10002,train,train,data/extracted/KolektorSDD2/train/10002.png,data/extracted/KolektorSDD2/train/10002_GT.png,False,3609270dfd5b46991f365ce586f608d753874227737641d256ae27dc67f1b5ca
train-10003,train,train,data/extracted/KolektorSDD2/train/10003.png,data/extracted/KolektorSDD2/train/10003_GT.png,False,8a5be59c82782c0755771178339c552aba6f09c3e091e7e721cbda28ddf3d68d
train-10004,train,train,data/extracted/KolektorSDD2/train/10004.png,data/extracted/KolektorSDD2/train/10004_GT.png,False,04c7b19d065da2b85fbb43382dde417af57a6c8a2f8dab81d1b5009e485976a7
train-10005,train,train,data/extracted/KolektorSDD2/train/10005.png,data/extracted/KolektorSDD2/train/10005_GT.png,False,2fa4fc73bbd1f0339e4328d0dc73d2071f0e5a395369e54a1ae7e28afbfbe556
train-10006,train,train,data/extracted/KolektorSDD2/train/10006.png,data/extracted/KolektorSDD2/train/10006_GT.png,False,dcdc6fa8b35c7afa6360454316f07f53bef7fe7369131fd789b0751dbdcfec80
train-10007,train,train,data/extracted/KolektorSDD2/train/10007.png,data/extracted/KolektorSDD2/train/10007_GT.png,False,6a5fc7724c4ca3d90a7fee922665ddc186b0aad9437c35325d5f3de9b1393960
train-10008,train,train,data/extracted/KolektorSDD2/train/10008.png,data/extracted/KolektorSDD2/train/10008_GT.png,False,4f8c22f3d02ce40681d5022fa2c0ad4311c704ffe730743e8ac03b47097d693b
train-10009,train,train,data/extracted/KolektorSDD2/train/10009.png,data/extracted/KolektorSDD2/train/10009_GT.png,False,be2fae570271af9d88252107e5784fbe7ca0221467f8f9079cce625451c9c1c3
train-10010,train,train,data/extracted/KolektorSDD2/train/10010.png,data/extracted/KolektorSDD2/train/10010_GT.png,False,314a1a24bdf61e560c87e785c96d212202d06be1968787d542cc7fb91b12baeb
train-10011,train,train,data/extracted/KolektorSDD2/train/10011.png,data/extracted/KolektorSDD2/train/10011_GT.png,False,e501e0f4d5675f5b82779213347aff8b11a3beb4ae19270dfd9100337ac43f22
train-10012,train,validation,data/extracted/KolektorSDD2/train/10012.png,data/extracted/KolektorSDD2/train/10012_GT.png,False,b9ee7d2b4a0837dd77cc4763c3b53e296ecd6977a109b1921fcfba3dbb388609
train-10013,train,validation,data/extracted/KolektorSDD2/train/10013.png,data/extracted/KolektorSDD2/train/10013_GT.png,False,dd05b73487b84ae91e89a5a11f48c68c71c4b35a42d6578160bf7cc0e6e4e327
train-10014,train,train,data/extracted/KolektorSDD2/train/10014.png,data/extracted/KolektorSDD2/train/10014_GT.png,False,ddde30f43e92421ba000db465066a989bbae34aa253089340704f4bb0ab9a93d
train-10015,train,train,data/extracted/KolektorSDD2/train/10015.png,data/extracted/KolektorSDD2/train/10015_GT.png,False,9a643f25e49f87da0f8691df1239a1d71d6fc2597d9c1f74456a7a6b1fa008fc
train-10016,train,train,data/extracted/KolektorSDD2/train/10016.png,data/extracted/KolektorSDD2/train/10016_GT.png,False,9328ea6981bb1b4cb8442b6f578e03b734c28e123a9d4914c3b50162e5474e28
train-10017,train,train,data/extracted/KolektorSDD2/train/10017.png,data/extracted/KolektorSDD2/train/10017_GT.png,False,840c574bb7e3cf44f9f33f5908b37bfa8bd2f3d58155c6389ab2c53dd4de5667
train-10018,train,train,data/extracted/KolektorSDD2/train/10018.png,data/extracted/KolektorSDD2/train/10018_GT.png,False,37b2f1349ca5f0e15ae825e75ac70397709990e88db138052e4274e7997ecb5c
train-10019,train,validation,data/extracted/KolektorSDD2/train/10019.png,data/extracted/KolektorSDD2/train/10019_GT.png,False,38192358385a1bb48e8e73bc9c2048d88e3d22904bcdf4add241b475ac21b59e
train-10020,train,train,data/extracted/KolektorSDD2/train/10020.png,data/extracted/KolektorSDD2/train/10020_GT.png,False,f593529957b461f6073c4fbc0ea564127f15a8bf37f95504fc66df2704f56d8f
train-10021,train,train,data/extracted/KolektorSDD2/train/10021.png,data/extracted/KolektorSDD2/train/10021_GT.png,True,a33acfe86da9f75b7b1d4f69dd694fde207878b07f7e5be703add3bc6984ebb5
train-10022,train,train,data/extracted/KolektorSDD2/train/10022.png,data/extracted/KolektorSDD2/train/10022_GT.png,False,e2ed0f230f2c8304ae26c2eb4b9c3884d0e3668b927b9517ec3d07d14fe154d7
train-10023,train,train,data/extracted/KolektorSDD2/train/10023.png,data/extracted/KolektorSDD2/train/10023_GT.png,False,3f26c4b5960642ebe1fbe9152b8fbe4991a11f6982e0a944366ac5549bfbb93b
train-10024,train,validation,data/extracted/KolektorSDD2/train/10024.png,data/extracted/KolektorSDD2/train/10024_GT.png,False,f2d2951cb269af716e6da8494ea90bed9f7eddda3c7d239f142bba781dd891a0
train-10025,train,train,data/extracted/KolektorSDD2/train/10025.png,data/extracted/KolektorSDD2/train/10025_GT.png,False,1de4bcc94f0437867b1dab36943b043f003c40a2afbbf8871edb1a6accaf3b3e
train-10026,train,validation,data/extracted/KolektorSDD2/train/10026.png,data/extracted/KolektorSDD2/train/10026_GT.png,False,cce63d2cf8c11c9a5c613dbf430dbece1c27782ae909afd6c1401ac7b05b2af8
train-10027,train,train,data/extracted/KolektorSDD2/train/10027.png,data/extracted/KolektorSDD2/train/10027_GT.png,False,b8ec59c799fcd8045d0c1766b535b70fae46331d320b9e04fcd1508d6aa2bde5
train-10028,train,train,data/extracted/KolektorSDD2/train/10028.png,data/extracted/KolektorSDD2/train/10028_GT.png,True,18d3157a3e6b26f30d793709eb6f5268be225129757126b95606f18b5f33c387
train-10029,train,train,data/extracted/KolektorSDD2/train/10029.png,data/extracted/KolektorSDD2/train/10029_GT.png,False,eb2de52f1d549bae9ad2c70a6ec49116668f690fa7775d3593ca8067df0d8077
train-10030,train,validation,data/extracted/KolektorSDD2/train/10030.png,data/extracted/KolektorSDD2/train/10030_GT.png,False,71d8f221ad73855eb3501ac776f380819fcf23c18067f1ef3bdbadf4ca14f032
train-10031,train,train,data/extracted/KolektorSDD2/train/10031.png,data/extracted/KolektorSDD2/train/10031_GT.png,False,eba453471f6ab43a574eb97a154c9c154e749112a1dbfb79ed601a08ee72712c
train-10032,train,validation,data/extracted/KolektorSDD2/train/10032.png,data/extracted/KolektorSDD2/train/10032_GT.png,False,4c070863a953fdb036bb3fe99ed9195b9c15175370b1b3d76a71f42157251552
train-10033,train,train,data/extracted/KolektorSDD2/train/10033.png,data/extracted/KolektorSDD2/train/10033_GT.png,False,68d2cc9d13c8d0a2fb56d7d93cc4b77e27ca3ca47e813779ad6cf4c64e09d352
train-10034,train,train,data/extracted/KolektorSDD2/train/10034.png,data/extracted/KolektorSDD2/train/10034_GT.png,False,9198f531b7deda8431993fd2c242e0d55d058146d4f49d6e9800202ef2c6c8e0
train-10035,train,train,data/extracted/KolektorSDD2/train/10035.png,data/extracted/KolektorSDD2/train/10035_GT.png,False,d2c4fc7b6a349f0aa9d28927f40db5c7af5292d050c160d2badeab61c3a55f17
train-10036,train,validation,data/extracted/KolektorSDD2/train/10036.png,data/extracted/KolektorSDD2/train/10036_GT.png,False,35292b4a59aa1aea5f5a9316531041e3125cfa96cba5a1b135219a14c09ed71c
train-10037,train,train,data/extracted/KolektorSDD2/train/10037.png,data/extracted/KolektorSDD2/train/10037_GT.png,False,341835845e18e979a52f9df32e242b1a214d5acb6294965ec0250d8347cf79db
train-10038,train,validation,data/extracted/KolektorSDD2/train/10038.png,data/extracted/KolektorSDD2/train/10038_GT.png,False,1f4f199e8bb04598aff1876476911a90ce3f188e8f218efa6a38c9313fc8bf60
train-10039,train,train,data/extracted/KolektorSDD2/train/10039.png,data/extracted/KolektorSDD2/train/10039_GT.png,False,41f8e8c360aa22967f6b88c2336695c3b219afff6f774ae124f5a9b3489f28f9
train-10040,train,train,data/extracted/KolektorSDD2/train/10040.png,data/extracted/KolektorSDD2/train/10040_GT.png,False,df909a6f82379d8f6c755e9bf38b2625f18a6e8cdcf6b49abe0e9d48d91746ab
train-10041,train,train,data/extracted/KolektorSDD2/train/10041.png,data/extracted/KolektorSDD2/train/10041_GT.png,False,809057f17ef01882e1d6f4890c0c04a5d863b3de34867f498e3676aecfc4a0e5
train-10042,train,train,data/extracted/KolektorSDD2/train/10042.png,data/extracted/KolektorSDD2/train/10042_GT.png,False,496eba4a42efa4b999fdb5500b7007c7dc713f0ef38ff916ab58f07693f67d22
train-10043,train,validation,data/extracted/KolektorSDD2/train/10043.png,data/extracted/KolektorSDD2/train/10043_GT.png,False,bd6b602a04f8e0def9074a9c4e6b5dd7c8b94e08e3850880f9c7e692d4fdacfc
train-10044,train,train,data/extracted/KolektorSDD2/train/10044.png,data/extracted/KolektorSDD2/train/10044_GT.png,False,56b81beeb124619169b5391bc81088778f4af667a83d47fe1fd93d6f1a1f0cb7
train-10045,train,train,data/extracted/KolektorSDD2/train/10045.png,data/extracted/KolektorSDD2/train/10045_GT.png,True,a72094299cec4428a6be82b00840a3a646ea2b7d2e630cfd85fa4bdf362421de
train-10046,train,train,data/extracted/KolektorSDD2/train/10046.png,data/extracted/KolektorSDD2/train/10046_GT.png,False,b2bd8167fb5350bcb2eb79317a4f597106171d55373153b14945c200351cc180
train-10047,train,train,data/extracted/KolektorSDD2/train/10047.png,data/extracted/KolektorSDD2/train/10047_GT.png,True,f7730d2e3880824b03405bb49f8251e0a79708804da1381c1ba97bc06d03ffe9
train-10048,train,train,data/extracted/KolektorSDD2/train/10048.png,data/extracted/KolektorSDD2/train/10048_GT.png,False,67a64b9bf82a6cc4e061686572e7a6a7af38764a9148a87eb35e408120b6bb99
train-10049,train,train,data/extracted/KolektorSDD2/train/10049.png,data/extracted/KolektorSDD2/train/10049_GT.png,False,1aeb42ee940cea2d4afedec41e9b25450740610d56ab09ae1a86a6f0122c615c
train-10050,train,train,data/extracted/KolektorSDD2/train/10050.png,data/extracted/KolektorSDD2/train/10050_GT.png,False,81f5e4cc37373a4b8247f0c1ce737caeddd9b7cd9bc18253ccc586c2739b3165
train-10051,train,train,data/extracted/KolektorSDD2/train/10051.png,data/extracted/KolektorSDD2/train/10051_GT.png,False,d166d463a169cd35de13f9edd57f35b241c1594d4daef51cd80325dc1070aa15
train-10052,train,validation,data/extracted/KolektorSDD2/train/10052.png,data/extracted/KolektorSDD2/train/10052_GT.png,False,201a66329bad48db85c1d6c85b8ed8b580ee0f5251e93705c80aaf28acdfc155
train-10053,train,train,data/extracted/KolektorSDD2/train/10053.png,data/extracted/KolektorSDD2/train/10053_GT.png,False,abb2827f8c3ec3acdccd7b2cd07fd6323681cd6e9ad9d2bd31bc1d9afc442e63
train-10054,train,train,data/extracted/KolektorSDD2/train/10054.png,data/extracted/KolektorSDD2/train/10054_GT.png,False,fbab93987eaddbfe2258d3e53287f542392d29c10dd3ee6cbb926d261fa05946
train-10055,train,train,data/extracted/KolektorSDD2/train/10055.png,data/extracted/KolektorSDD2/train/10055_GT.png,False,daf6a4f8dd4625b969f73cdef8404021d94277ee08a9235ac57c48b2d799bfd4
train-10056,train,train,data/extracted/KolektorSDD2/train/10056.png,data/extracted/KolektorSDD2/train/10056_GT.png,False,8a503eb5516abf21a1e9196ab90d10a01cf18a38d344c581a8748deda72d53a8
train-10057,train,train,data/extracted/KolektorSDD2/train/10057.png,data/extracted/KolektorSDD2/train/10057_GT.png,True,6ded7251e1073d92197c5b8834a9293e824ce1e69774d8a3534dcdfd85392651
train-10058,train,train,data/extracted/KolektorSDD2/train/10058.png,data/extracted/KolektorSDD2/train/10058_GT.png,False,f959ada28ac9a026929ab674ec75e970a773367e9f72ac95ba57860f653d6e82
train-10059,train,train,data/extracted/KolektorSDD2/train/10059.png,data/extracted/KolektorSDD2/train/10059_GT.png,False,e63ee7f6f3b8ad691a075306afd6f91ffff705c6a1dc63d4a28d93920f22e9a1
train-10060,train,train,data/extracted/KolektorSDD2/train/10060.png,data/extracted/KolektorSDD2/train/10060_GT.png,True,9bb9ee952622490cbf0b5e9e4b8514fbb6acb8e5be43b8a5eab51ac60541bf22
train-10061,train,validation,data/extracted/KolektorSDD2/train/10061.png,data/extracted/KolektorSDD2/train/10061_GT.png,False,c0bd1eaa5e04ad411543558c1a14cc4c6895bc7326f1a2015eff822d677d6972
train-10062,train,train,data/extracted/KolektorSDD2/train/10062.png,data/extracted/KolektorSDD2/train/10062_GT.png,False,9b5955e2d6e4f79228a69603dd67aec7fbb21b6008afec7fb03fdd67469a83ad
train-10063,train,train,data/extracted/KolektorSDD2/train/10063.png,data/extracted/KolektorSDD2/train/10063_GT.png,False,6bbf2ac79d239cd2641d0deb148bc5f8eb99e9820a704f7b8407f2c783b483e1
train-10064,train,train,data/extracted/KolektorSDD2/train/10064.png,data/extracted/KolektorSDD2/train/10064_GT.png,False,27bc31593d80c88e1385932c0de5766fb5f6655ead1333cba67f21c1ce0dc186
train-10065,train,train,data/extracted/KolektorSDD2/train/10065.png,data/extracted/KolektorSDD2/train/10065_GT.png,True,4350854b4eae00af73233783385574f8b904b4ffa8cc4a8fa4fdee24ded3e300
train-10066,train,train,data/extracted/KolektorSDD2/train/10066.png,data/extracted/KolektorSDD2/train/10066_GT.png,False,3d7cf40e32c53ae9d5d64841c859e07f36197369049ddd424c9a73e24c55e556
train-10067,train,train,data/extracted/KolektorSDD2/train/10067.png,data/extracted/KolektorSDD2/train/10067_GT.png,False,ea0cc109711cf956f4631361b45a6327960403ce289ba383a1b50b8e8e63bf1f
train-10068,train,train,data/extracted/KolektorSDD2/train/10068.png,data/extracted/KolektorSDD2/train/10068_GT.png,False,a10c1b98e83314557e45dd7e464ce36576f38580e2959100b9d06b741ba8daf2
train-10069,train,train,data/extracted/KolektorSDD2/train/10069.png,data/extracted/KolektorSDD2/train/10069_GT.png,False,93a4cdee3d03033b694f030e2240ddb756d24f4c0df3e45b84020b36a7f88fc9
train-10070,train,train,data/extracted/KolektorSDD2/train/10070.png,data/extracted/KolektorSDD2/train/10070_GT.png,False,f5a8e2d058e5284b3e4096e9ada7e33d9498c00ea2544a1d0e4bac395029cd61
train-10071,train,train,data/extracted/KolektorSDD2/train/10071.png,data/extracted/KolektorSDD2/train/10071_GT.png,False,86b8578da55d0c2de2a13c842298edcb7995756d385f2d1d04ccdadbdef889c8
train-10072,train,train,data/extracted/KolektorSDD2/train/10072.png,data/extracted/KolektorSDD2/train/10072_GT.png,False,039da828942ab63edf22d10c263a089234046d51b76fca10f160b0b644246a5d
train-10073,train,validation,data/extracted/KolektorSDD2/train/10073.png,data/extracted/KolektorSDD2/train/10073_GT.png,False,709ab1206f12789bdba483f220cada4678574434fe21e34a1661a52dc01cf520
train-10074,train,train,data/extracted/KolektorSDD2/train/10074.png,data/extracted/KolektorSDD2/train/10074_GT.png,False,69556c2da4fc30d93435451d4706ec8a95736ef698255f550d3c3a5b9390e95f
train-10075,train,train,data/extracted/KolektorSDD2/train/10075.png,data/extracted/KolektorSDD2/train/10075_GT.png,False,40ac4750694d26ec3b86c145fdccd795c7f94b57452501e45bae264f30c2fd04
train-10076,train,validation,data/extracted/KolektorSDD2/train/10076.png,data/extracted/KolektorSDD2/train/10076_GT.png,False,914d593cf0bba9e193ad2a0acc0cddbb506694625f14c51781683ac1d15a8c9f
train-10077,train,train,data/extracted/KolektorSDD2/train/10077.png,data/extracted/KolektorSDD2/train/10077_GT.png,False,d8868e7ec77870d25e483c201eb4f2893a2ea4c90633063ad32ff4b7f34d8291
train-10078,train,train,data/extracted/KolektorSDD2/train/10078.png,data/extracted/KolektorSDD2/train/10078_GT.png,False,6023f0373ef67e3dfa7f38672cc2549f81cc0e71fdf443adc332237da220d277
train-10079,train,train,data/extracted/KolektorSDD2/train/10079.png,data/extracted/KolektorSDD2/train/10079_GT.png,False,04a88893d815960c5ca3f9161a15376c2ed0a3da3aae371d2da87610a4c6a5ce
train-10080,train,validation,data/extracted/KolektorSDD2/train/10080.png,data/extracted/KolektorSDD2/train/10080_GT.png,False,a68bffa372be6ca235c3f44f11ca915b8cd799d5ca8af44ab7a87e1a30295492
train-10081,train,validation,data/extracted/KolektorSDD2/train/10081.png,data/extracted/KolektorSDD2/train/10081_GT.png,False,e93a9ea3e7140bd4c3f27d8d549c95c7cd7e60740f2e71a9dd86beebcfad705d
train-10082,train,validation,data/extracted/KolektorSDD2/train/10082.png,data/extracted/KolektorSDD2/train/10082_GT.png,False,3c8627730a5debbbe105720679e803b8c1a933590068d6f58b183e7b70e76df6
train-10083,train,train,data/extracted/KolektorSDD2/train/10083.png,data/extracted/KolektorSDD2/train/10083_GT.png,False,00f846bbfe4ad2b3458274cf962d5b99ba514a3a15a2ab6def05e03d6771dcd9
train-10084,train,train,data/extracted/KolektorSDD2/train/10084.png,data/extracted/KolektorSDD2/train/10084_GT.png,True,fcf81b175db58157b90c0d14a3cb3f392534b0073df13a44db44a273cdbb4c9a
train-10085,train,train,data/extracted/KolektorSDD2/train/10085.png,data/extracted/KolektorSDD2/train/10085_GT.png,False,40ec6ee0a61eaba9f1869c9b8ed4eaaf555ecc4cfab0c20473254b6deb16c0ad
