split,sample_id,image_path,mask_path,has_defect,width,height,positive_mask_pixels,defect_fraction
train,train-10000,data/extracted/KolektorSDD2/train/10000.png,data/extracted/KolektorSDD2/train/10000_GT.png,False,229,645,0,0.0
train,train-10001,data/extracted/KolektorSDD2/train/10001.png,data/extracted/KolektorSDD2/train/10001_GT.png,False,228,633,0,0.0
train,train-10002,data/extracted/KolektorSDD2/train/10002.png,data/extracted/KolektorSDD2/train/10002_GT.png,False,230,647,0,0.0
train,train-10003,data/extracted/KolektorSDD2/train/10003.png,data/extracted/KolektorSDD2/train/10003_GT.png,False,229,634,0,0.0
train,train-10004,data/extracted/KolektorSDD2/train/10004.png,data/extracted/KolektorSDD2/train/10004_GT.png,False,228,632,0,0.0
train,train-10005,data/extracted/KolektorSDD2/train/10005.png,data/extracted/KolektorSDD2/train/10005_GT.png,False,230,628,0,0.0
train,train-10006,data/extracted/KolektorSDD2/train/10006.png,data/extracted/KolektorSDD2/train/10006_GT.png,False,233,642,0,0.0
train,train-10007,data/extracted/KolektorSDD2/train/10007.png,data/extracted/KolektorSDD2/train/10007_GT.png,False,229,640,0,0.0
train,train-10008,data/extracted/KolektorSDD2/train/10008.png,data/extracted/KolektorSDD2/train/10008_GT.png,False,228,634,0,0.0
train,train-10009,data/extracted/KolektorSDD2/train/10009.png,data/extracted/KolektorSDD2/train/10009_GT.png,False,231,643,0,0.0
train,train-10010,data/extracted/KolektorSDD2/train/10010.png,data/extracted/KolektorSDD2/train/10010_GT.png,False,229,635,0,0.0
train,train-10011,data/extracted/KolektorSDD2/train/10011.png,data/extracted/KolektorSDD2/train/10011_GT.png,False,230,638,0,0.0
train,train-10012,data/extracted/KolektorSDD2/train/10012.png,data/extracted/KolektorSDD2/train/10012_GT.png,False,230,639,0,0.0
train,train-10013,data/extracted/KolektorSDD2/train/10013.png,data/extracted/KolektorSDD2/train/10013_GT.png,False,229,642,0,0.0
train,train-10014,data/extracted/KolektorSDD2/train/10014.png,data/extracted/KolektorSDD2/train/10014_GT.png,False,229,646,0,0.0
train,train-10015,data/extracted/KolektorSDD2/train/10015.png,data/extracted/KolektorSDD2/train/10015_GT.png,False,230,636,0,0.0
train,train-10016,data/extracted/KolektorSDD2/train/10016.png,data/extracted/KolektorSDD2/train/10016_GT.png,False,229,634,0,0.0
train,train-10017,data/extracted/KolektorSDD2/train/10017.png,data/extracted/KolektorSDD2/train/10017_GT.png,False,231,645,0,0.0
train,train-10018,data/extracted/KolektorSDD2/train/10018.png,data/extracted/KolektorSDD2/train/10018_GT.png,False,230,643,0,0.0
train,train-10019,data/extracted/KolektorSDD2/train/10019.png,data/extracted/KolektorSDD2/train/10019_GT.png,False,233,626,0,0.0
train,train-10020,data/extracted/KolektorSDD2/train/10020.png,data/extracted/KolektorSDD2/train/10020_GT.png,False,229,642,0,0.0
train,train-10021,data/extracted/KolektorSDD2/train/10021.png,data/extracted/KolektorSDD2/train/10021_GT.png,True,228,649,3346,0.022612386127105127
train,train-10022,data/extracted/KolektorSDD2/train/10022.png,data/extracted/KolektorSDD2/train/10022_GT.png,False,230,637,0,0.0
train,train-10023,data/extracted/KolektorSDD2/train/10023.png,data/extracted/KolektorSDD2/train/10023_GT.png,False,230,652,0,0.0
train,train-10024,data/extracted/KolektorSDD2/train/10024.png,data/extracted/KolektorSDD2/train/10024_GT.png,False,230,628,0,0.0
train,train-10025,data/extracted/KolektorSDD2/train/10025.png,data/extracted/KolektorSDD2/train/10025_GT.png,False,228,636,0,0.0
train,train-10026,data/extracted/KolektorSDD2/train/10026.png,data/extracted/KolektorSDD2/train/10026_GT.png,False,229,643,0,0.0
train,train-10027,data/extracted/KolektorSDD2/train/10027.png,data/extracted/KolektorSDD2/train/10027_GT.png,False,229,637,0,0.0
train,train-10028,data/extracted/KolektorSDD2/train/10028.png,data/extracted/KolektorSDD2/train/10028_GT.png,True,229,643,989,0.00671660543168961
train,train-10029,data/extracted/KolektorSDD2/train/10029.png,data/extracted/KolektorSDD2/train/10029_GT.png,False,229,629,0,0.0
train,train-10030,data/extracted/KolektorSDD2/train/10030.png,data/extracted/KolektorSDD2/train/10030_GT.png,False,232,637,0,0.0
train,train-10031,data/extracted/KolektorSDD2/train/10031.png,data/extracted/KolektorSDD2/train/10031_GT.png,False,230,647,0,0.0
train,train-10032,data/extracted/KolektorSDD2/train/10032.png,data/extracted/KolektorSDD2/train/10032_GT.png,False,228,646,0,0.0
train,train-10033,data/extracted/KolektorSDD2/train/10033.png,data/extracted/KolektorSDD2/train/10033_GT.png,False,230,633,0,0.0
train,train-10034,data/extracted/KolektorSDD2/train/10034.png,data/extracted/KolektorSDD2/train/10034_GT.png,False,229,626,0,0.0
train,train-10035,data/extracted/KolektorSDD2/train/10035.png,data/extracted/KolektorSDD2/train/10035_GT.png,False,229,635,0,0.0
train,train-10036,data/extracted/KolektorSDD2/train/10036.png,data/extracted/KolektorSDD2/train/10036_GT.png,False,231,642,0,0.0
train,train-10037,data/extracted/KolektorSDD2/train/10037.png,data/extracted/KolektorSDD2/train/10037_GT.png,False,228,637,0,0.0
train,train-10038,data/extracted/KolektorSDD2/train/10038.png,data/extracted/KolektorSDD2/train/10038_GT.png,False,228,639,0,0.0
train,train-10039,data/extracted/KolektorSDD2/train/10039.png,data/extracted/KolektorSDD2/train/10039_GT.png,False,231,638,0,0.0
train,train-10040,data/extracted/KolektorSDD2/train/10040.png,data/extracted/KolektorSDD2/train/10040_GT.png,False,230,643,0,0.0
train,train-10041,data/extracted/KolektorSDD2/train/10041.png,data/extracted/KolektorSDD2/train/10041_GT.png,False,228,646,0,0.0
train,train-10042,data/extracted/KolektorSDD2/train/10042.png,data/extracted/KolektorSDD2/train/10042_GT.png,False,229,632,0,0.0
train,train-10043,data/extracted/KolektorSDD2/train/10043.png,data/extracted/KolektorSDD2/train/10043_GT.png,False,231,647,0,0.0
train,train-10044,data/extracted/KolektorSDD2/train/10044.png,data/extracted/KolektorSDD2/train/10044_GT.png,False,231,626,0,0.0
train,train-10045,data/extracted/KolektorSDD2/train/10045.png,data/extracted/KolektorSDD2/train/10045_GT.png,True,211,638,23,0.00017085382341143086
train,train-10046,data/extracted/KolektorSDD2/train/10046.png,data/extracted/KolektorSDD2/train/10046_GT.png,False,205,635,0,0.0
train,train-10047,data/extracted/KolektorSDD2/train/10047.png,data/extracted/KolektorSDD2/train/10047_GT.png,True,231,637,19713,0.13396807274358294
train,train-10048,data/extracted/KolektorSDD2/train/10048.png,data/extracted/KolektorSDD2/train/10048_GT.png,False,214,630,0,0.0
train,train-10049,data/extracted/KolektorSDD2/train/10049.png,data/extracted/KolektorSDD2/train/10049_GT.png,False,229,635,0,0.0
train,train-10050,data/extracted/KolektorSDD2/train/10050.png,data/extracted/KolektorSDD2/train/10050_GT.png,False,230,647,0,0.0
train,train-10051,data/extracted/KolektorSDD2/train/10051.png,data/extracted/KolektorSDD2/train/10051_GT.png,False,228,629,0,0.0
train,train-10052,data/extracted/KolektorSDD2/train/10052.png,data/extracted/KolektorSDD2/train/10052_GT.png,False,231,629,0,0.0
train,train-10053,data/extracted/KolektorSDD2/train/10053.png,data/extracted/KolektorSDD2/train/10053_GT.png,False,230,642,0,0.0
train,train-10054,data/extracted/KolektorSDD2/train/10054.png,data/extracted/KolektorSDD2/train/10054_GT.png,False,230,638,0,0.0
train,train-10055,data/extracted/KolektorSDD2/train/10055.png,data/extracted/KolektorSDD2/train/10055_GT.png,False,229,640,0,0.0
train,train-10056,data/extracted/KolektorSDD2/train/10056.png,data/extracted/KolektorSDD2/train/10056_GT.png,False,230,609,0,0.0
train,train-10057,data/extracted/KolektorSDD2/train/10057.png,data/extracted/KolektorSDD2/train/10057_GT.png,True,230,640,1713,0.011637228260869565
train,train-10058,data/extracted/KolektorSDD2/train/10058.png,data/extracted/KolektorSDD2/train/10058_GT.png,False,229,657,0,0.0
train,train-10059,data/extracted/KolektorSDD2/train/10059.png,data/extracted/KolektorSDD2/train/10059_GT.png,False,229,643,0,0.0
train,train-10060,data/extracted/KolektorSDD2/train/10060.png,data/extracted/KolektorSDD2/train/10060_GT.png,True,228,637,1349,0.009288330716902146
train,train-10061,data/extracted/KolektorSDD2/train/10061.png,data/extracted/KolektorSDD2/train/10061_GT.png,False,230,637,0,0.0
train,train-10062,data/extracted/KolektorSDD2/train/10062.png,data/extracted/KolektorSDD2/train/10062_GT.png,False,229,639,0,0.0
train,train-10063,data/extracted/KolektorSDD2/train/10063.png,data/extracted/KolektorSDD2/train/10063_GT.png,False,230,638,0,0.0
train,train-10064,data/extracted/KolektorSDD2/train/10064.png,data/extracted/KolektorSDD2/train/10064_GT.png,False,230,632,0,0.0
train,train-10065,data/extracted/KolektorSDD2/train/10065.png,data/extracted/KolektorSDD2/train/10065_GT.png,True,229,641,2527,0.017215186424050847
train,train-10066,data/extracted/KolektorSDD2/train/10066.png,data/extracted/KolektorSDD2/train/10066_GT.png,False,231,641,0,0.0
train,train-10067,data/extracted/KolektorSDD2/train/10067.png,data/extracted/KolektorSDD2/train/10067_GT.png,False,227,642,0,0.0
train,train-10068,data/extracted/KolektorSDD2/train/10068.png,data/extracted/KolektorSDD2/train/10068_GT.png,False,227,636,0,0.0
train,train-10069,data/extracted/KolektorSDD2/train/10069.png,data/extracted/KolektorSDD2/train/10069_GT.png,False,230,635,0,0.0
train,train-10070,data/extracted/KolektorSDD2/train/10070.png,data/extracted/KolektorSDD2/train/10070_GT.png,False,232,636,0,0.0
train,train-10071,data/extracted/KolektorSDD2/train/10071.png,data/extracted/KolektorSDD2/train/10071_GT.png,False,229,625,0,0.0
train,train-10072,data/extracted/KolektorSDD2/train/10072.png,data/extracted/KolektorSDD2/train/10072_GT.png,False,228,645,0,0.0
train,train-10073,data/extracted/KolektorSDD2/train/10073.png,data/extracted/KolektorSDD2/train/10073_GT.png,False,228,629,0,0.0
train,train-10074,data/extracted/KolektorSDD2/train/10074.png,data/extracted/KolektorSDD2/train/10074_GT.png,False,229,642,0,0.0
train,train-10075,data/extracted/KolektorSDD2/train/10075.png,data/extracted/KolektorSDD2/train/10075_GT.png,False,231,630,0,0.0
train,train-10076,data/extracted/KolektorSDD2/train/10076.png,data/extracted/KolektorSDD2/train/10076_GT.png,False,229,632,0,0.0
train,train-10077,data/extracted/KolektorSDD2/train/10077.png,data/extracted/KolektorSDD2/train/10077_GT.png,False,230,638,0,0.0
train,train-10078,data/extracted/KolektorSDD2/train/10078.png,data/extracted/KolektorSDD2/train/10078_GT.png,False,230,632,0,0.0
train,train-10079,data/extracted/KolektorSDD2/train/10079.png,data/extracted/KolektorSDD2/train/10079_GT.png,False,229,638,0,0.0
train,train-10080,data/extracted/KolektorSDD2/train/10080.png,data/extracted/KolektorSDD2/train/10080_GT.png,False,230,637,0,0.0
train,train-10081,data/extracted/KolektorSDD2/train/10081.png,data/extracted/KolektorSDD2/train/10081_GT.png,False,228,645,0,0.0
train,train-10082,data/extracted/KolektorSDD2/train/10082.png,data/extracted/KolektorSDD2/train/10082_GT.png,False,231,630,0,0.0
train,train-10083,data/extracted/KolektorSDD2/train/10083.png,data/extracted/KolektorSDD2/train/10083_GT.png,False,228,640,0,0.0
train,train-10084,data/extracted/KolektorSDD2/train/10084.png,data/extracted/KolektorSDD2/train/10084_GT.png,True,231,619,644,0.004503842952954423
train,train-10085,data/extracted/KolektorSDD2/train/10085.png,data/extracted/KolektorSDD2/train/10085_GT.png,False,230,638,0,0.0
train,train-10086,data/extracted/KolektorSDD2/train/10086.png,data/extracted/KolektorSDD2/train/10086_GT.png,False,230,637,0,0.0
train,train-10087,data/extracted/KolektorSDD2/train/10087.png,data/extracted/KolektorSDD2/train/10087_GT.png,False,230,639,0,0.0
train,train-10088,data/extracted/KolektorSDD2/train/10088.png,data/extracted/KolektorSDD2/train/10088_GT.png,False,232,634,0,0.0
train,train-10089,data/extracted/KolektorSDD2/train/10089.png,data/extracted/KolektorSDD2/train/10089_GT.png,False,230,636,0,0.0
train,train-10090,data/extracted/KolektorSDD2/train/10090.png,data/extracted/KolektorSDD2/train/10090_GT.png,True,230,637,488,0.0033308306600232066
train,train-10091,data/extracted/KolektorSDD2/train/10091.png,data/extracted/KolektorSDD2/train/10091_GT.png,False,229,639,0,0.0
train,train-10092,data/extracted/KolektorSDD2/train/10092.png,data/extracted/KolektorSDD2/train/10092_GT.png,False,230,637,0,0.0
train,train-10093,data/extracted/KolektorSDD2/train/10093.png,data/extracted/KolektorSDD2/train/10093_GT.png,False,230,634,0,0.0
train,train-10094,data/extracted/KolektorSDD2/train/10094.png,data/extracted/KolektorSDD2/train/10094_GT.png,False,228,635,0,0.0
train,train-10095,data/extracted/KolektorSDD2/train/10095.png,data/extracted/KolektorSDD2/train/10095_GT.png,False,229,642,0,0.0
train,train-10096,data/extracted/KolektorSDD2/train/10096.png,data/extracted/KolektorSDD2/train/10096_GT.png,False,229,633,0,0.0
train,train-10097,data/extracted/KolektorSDD2/train/10097.png,data/extracted/KolektorSDD2/train/10097_GT.png,False,228,643,0,0.0
train,train-10098,data/extracted/KolektorSDD2/train/10098.png,data/extracted/KolektorSDD2/train/10098_GT.png,False,229,641,0,0.0
train,train-10099,data/extracted/KolektorSDD2/train/10099.png,data/extracted/KolektorSDD2/train/10099_GT.png,False,229,651,0,0.0
train,train-10100,data/extracted/KolektorSDD2/train/10100.png,data/extracted/KolektorSDD2/train/10100_GT.png,False,230,634,0,0.0
train,train-10101,data/extracted/KolektorSDD2/train/10101.png,data/extracted/KolektorSDD2/train/10101_GT.png,False,230,640,0,0.0
train,train-10102,data/extracted/KolektorSDD2/train/10102.png,data/extracted/KolektorSDD2/train/10102_GT.png,False,231,637,0,0.0
train,train-10103,data/extracted/KolektorSDD2/train/10103.png,data/extracted/KolektorSDD2/train/10103_GT.png,False,229,625,0,0.0
train,train-10104,data/extracted/KolektorSDD2/train/10104.png,data/extracted/KolektorSDD2/train/10104_GT.png,False,229,630,0,0.0
train,train-10105,data/extracted/KolektorSDD2/train/10105.png,data/extracted/KolektorSDD2/train/10105_GT.png,False,231,651,0,0.0
train,train-10106,data/extracted/KolektorSDD2/train/10106.png,data/extracted/KolektorSDD2/train/10106_GT.png,False,231,640,0,0.0
train,train-10107,data/extracted/KolektorSDD2/train/10107.png,data/extracted/KolektorSDD2/train/10107_GT.png,False,231,636,0,0.0
train,train-10108,data/extracted/KolektorSDD2/train/10108.png,data/extracted/KolektorSDD2/train/10108_GT.png,False,230,644,0,0.0
train,train-10109,data/extracted/KolektorSDD2/train/10109.png,data/extracted/KolektorSDD2/train/10109_GT.png,False,231,641,0,0.0
train,train-10110,data/extracted/KolektorSDD2/train/10110.png,data/extracted/KolektorSDD2/train/10110_GT.png,False,230,635,0,0.0
train,train-10111,data/extracted/KolektorSDD2/train/10111.png,data/extracted/KolektorSDD2/train/10111_GT.png,False,214,649,0,0.0
train,train-10112,data/extracted/KolektorSDD2/train/10112.png,data/extracted/KolektorSDD2/train/10112_GT.png,False,230,642,0,0.0
train,train-10113,data/extracted/KolektorSDD2/train/10113.png,data/extracted/KolektorSDD2/train/10113_GT.png,False,230,641,0,0.0
train,train-10114,data/extracted/KolektorSDD2/train/10114.png,data/extracted/KolektorSDD2/train/10114_GT.png,False,227,632,0,0.0
train,train-10115,data/extracted/KolektorSDD2/train/10115.png,data/extracted/KolektorSDD2/train/10115_GT.png,False,233,640,0,0.0
train,train-10116,data/extracted/KolektorSDD2/train/10116.png,data/extracted/KolektorSDD2/train/10116_GT.png,False,229,633,0,0.0
train,train-10117,data/extracted/KolektorSDD2/train/10117.png,data/extracted/KolektorSDD2/train/10117_GT.png,False,227,642,0,0.0
train,train-10118,data/extracted/KolektorSDD2/train/10118.png,data/extracted/KolektorSDD2/train/10118_GT.png,False,230,638,0,0.0
train,train-10119,data/extracted/KolektorSDD2/train/10119.png,data/extracted/KolektorSDD2/train/10119_GT.png,False,227,639,0,0.0
train,train-10120,data/extracted/KolektorSDD2/train/10120.png,data/extracted/KolektorSDD2/train/10120_GT.png,False,229,634,0,0.0
train,train-10121,data/extracted/KolektorSDD2/train/10121.png,data/extracted/KolektorSDD2/train/10121_GT.png,False,228,627,0,0.0
train,train-10122,data/extracted/KolektorSDD2/train/10122.png,data/extracted/KolektorSDD2/train/10122_GT.png,False,231,639,0,0.0
train,train-10123,data/extracted/KolektorSDD2/train/10123.png,data/extracted/KolektorSDD2/train/10123_GT.png,False,229,636,0,0.0
train,train-10124,data/extracted/KolektorSDD2/train/10124.png,data/extracted/KolektorSDD2/train/10124_GT.png,False,228,633,0,0.0
train,train-10125,data/extracted/KolektorSDD2/train/10125.png,data/extracted/KolektorSDD2/train/10125_GT.png,False,228,641,0,0.0
train,train-10126,data/extracted/KolektorSDD2/train/10126.png,data/extracted/KolektorSDD2/train/10126_GT.png,False,228,634,0,0.0
train,train-10127,data/extracted/KolektorSDD2/train/10127.png,data/extracted/KolektorSDD2/train/10127_GT.png,False,227,637,0,0.0
train,train-10128,data/extracted/KolektorSDD2/train/10128.png,data/extracted/KolektorSDD2/train/10128_GT.png,False,228,651,0,0.0
train,train-10129,data/extracted/KolektorSDD2/train/10129.png,data/extracted/KolektorSDD2/train/10129_GT.png,False,232,633,0,0.0
train,train-10130,data/extracted/KolektorSDD2/train/10130.png,data/extracted/KolektorSDD2/train/10130_GT.png,False,229,635,0,0.0
train,train-10131,data/extracted/KolektorSDD2/train/10131.png,data/extracted/KolektorSDD2/train/10131_GT.png,False,229,636,0,0.0
train,train-10132,data/extracted/KolektorSDD2/train/10132.png,data/extracted/KolektorSDD2/train/10132_GT.png,False,228,638,0,0.0
train,train-10133,data/extracted/KolektorSDD2/train/10133.png,data/extracted/KolektorSDD2/train/10133_GT.png,False,229,644,0,0.0
train,train-10134,data/extracted/KolektorSDD2/train/10134.png,data/extracted/KolektorSDD2/train/10134_GT.png,False,228,637,0,0.0
train,train-10135,data/extracted/KolektorSDD2/train/10135.png,data/extracted/KolektorSDD2/train/10135_GT.png,True,230,646,3376,0.022721766051958543
train,train-10136,data/extracted/KolektorSDD2/train/10136.png,data/extracted/KolektorSDD2/train/10136_GT.png,False,229,620,0,0.0
train,train-10137,data/extracted/KolektorSDD2/train/10137.png,data/extracted/KolektorSDD2/train/10137_GT.png,False,227,646,0,0.0
train,train-10138,data/extracted/KolektorSDD2/train/10138.png,data/extracted/KolektorSDD2/train/10138_GT.png,False,230,636,0,0.0
train,train-10139,data/extracted/KolektorSDD2/train/10139.png,data/extracted/KolektorSDD2/train/10139_GT.png,False,231,646,0,0.0
train,train-10140,data/extracted/KolektorSDD2/train/10140.png,data/extracted/KolektorSDD2/train/10140_GT.png,False,229,624,0,0.0
train,train-10141,data/extracted/KolektorSDD2/train/10141.png,data/extracted/KolektorSDD2/train/10141_GT.png,False,228,635,0,0.0
train,train-10142,data/extracted/KolektorSDD2/train/10142.png,data/extracted/KolektorSDD2/train/10142_GT.png,False,228,636,0,0.0
train,train-10143,data/extracted/KolektorSDD2/train/10143.png,data/extracted/KolektorSDD2/train/10143_GT.png,False,230,644,0,0.0
train,train-10144,data/extracted/KolektorSDD2/train/10144.png,data/extracted/KolektorSDD2/train/10144_GT.png,False,231,640,0,0.0
train,train-10145,data/extracted/KolektorSDD2/train/10145.png,data/extracted/KolektorSDD2/train/10145_GT.png,True,230,636,1045,0.007143833743505606
train,train-10146,data/extracted/KolektorSDD2/train/10146.png,data/extracted/KolektorSDD2/train/10146_GT.png,False,230,633,0,0.0
train,train-10147,data/extracted/KolektorSDD2/train/10147.png,data/extracted/KolektorSDD2/train/10147_GT.png,False,228,627,0,0.0
train,train-10148,data/extracted/KolektorSDD2/train/10148.png,data/extracted/KolektorSDD2/train/10148_GT.png,False,205,635,0,0.0
train,train-10149,data/extracted/KolektorSDD2/train/10149.png,data/extracted/KolektorSDD2/train/10149_GT.png,False,228,649,0,0.0
train,train-10150,data/extracted/KolektorSDD2/train/10150.png,data/extracted/KolektorSDD2/train/10150_GT.png,False,229,633,0,0.0
train,train-10151,data/extracted/KolektorSDD2/train/10151.png,data/extracted/KolektorSDD2/train/10151_GT.png,False,228,642,0,0.0
train,train-10152,data/extracted/KolektorSDD2/train/10152.png,data/extracted/KolektorSDD2/train/10152_GT.png,False,231,634,0,0.0
train,train-10153,data/extracted/KolektorSDD2/train/10153.png,data/extracted/KolektorSDD2/train/10153_GT.png,False,230,630,0,0.0
train,train-10154,data/extracted/KolektorSDD2/train/10154.png,data/extracted/KolektorSDD2/train/10154_GT.png,False,231,621,0,0.0
train,train-10155,data/extracted/KolektorSDD2/train/10155.png,data/extracted/KolektorSDD2/train/10155_GT.png,False,230,643,0,0.0
train,train-10156,data/extracted/KolektorSDD2/train/10156.png,data/extracted/KolektorSDD2/train/10156_GT.png,False,216,633,0,0.0
train,train-10157,data/extracted/KolektorSDD2/train/10157.png,data/extracted/KolektorSDD2/train/10157_GT.png,True,231,649,7073,0.0471788098906743
train,train-10158,data/extracted/KolektorSDD2/train/10158.png,data/extracted/KolektorSDD2/train/10158_GT.png,False,228,633,0,0.0
train,train-10159,data/extracted/KolektorSDD2/train/10159.png,data/extracted/KolektorSDD2/train/10159_GT.png,True,229,646,5895,0.03984885151486474
train,train-10160,data/extracted/KolektorSDD2/train/10160.png,data/extracted/KolektorSDD2/train/10160_GT.png,False,230,638,0,0.0
train,train-10161,data/extracted/KolektorSDD2/train/10161.png,data/extracted/KolektorSDD2/train/10161_GT.png,False,230,634,0,0.0
train,train-10162,data/extracted/KolektorSDD2/train/10162.png,data/extracted/KolektorSDD2/train/10162_GT.png,False,228,639,0,0.0
train,train-10163,data/extracted/KolektorSDD2/train/10163.png,data/extracted/KolektorSDD2/train/10163_GT.png,False,229,643,0,0.0
train,train-10164,data/extracted/KolektorSDD2/train/10164.png,data/extracted/KolektorSDD2/train/10164_GT.png,False,231,645,0,0.0
