epoch,precision_mode,train_bce,train_dice,train_total_loss,validation_bce,validation_dice,validation_total_loss,validation_global_dice_at_0_5,validation_global_iou_at_0_5,validation_pixel_precision_at_0_5,validation_pixel_recall_at_0_5,learning_rate,next_learning_rate,sampled_training_defective_fraction,attempted_batches,optimizer_step_executed,optimizer_step_skipped,nonfinite_forward_loss,nonfinite_gradient,amp_overflow_scale_drop,fp32_retry_attempted,fp32_retry_executed,grad_scaler_applicable,grad_scaler_scale_initial,grad_scaler_scale,gradient_clip_max_norm,maximum_training_gradient_norm,maximum_pre_clipping_gradient_norm,maximum_post_clipping_gradient_norm,maximum_training_absolute_logit,maximum_validation_absolute_logit,epoch_seconds,peak_allocated_vram_bytes,peak_reserved_vram_bytes
1,bf16,0.14742968507404433,0.8372006691627464,0.9846303521954971,0.03640633506434304,0.9424490816252572,0.978855414390564,0.3636794681453857,0.2222544184134813,0.2444879495601889,0.7096391076115486,0.0003,0.0003,0.5098435133770823,496,496,0,0,0,0,0,0,False,,,1.0,12.124149322509766,12.124149322509766,1.0,15.625,8.25,445.04028459999245,3321561088,3697278976
2,bf16,0.11444818611648865,0.7191543315529282,0.8336025180689076,0.032317777679168755,0.9286371043750218,0.9609548820768083,0.6179072988891934,0.44708093631677015,0.7220374968197012,0.5400262467191601,0.0003,0.0003,0.5113579000504795,496,496,0,0,0,0,0,0,False,,,1.0,16.025135040283203,16.025135040283203,0.9999999403953552,12.1875,9.75,432.63281629999983,3320709120,3697278976
3,bf16,0.12120793158376983,0.7034715575018897,0.8246794889395674,0.026926592835225166,0.9191715809277126,0.9460981736864362,0.6300707171962189,0.45992937380437443,0.6582410591103073,0.6042125984251968,0.0003,0.0003,0.48359414437152953,496,496,0,0,0,0,0,0,False,,,1.0,34.90744400024414,34.90744400024414,1.0000001192092896,17.0,11.6875,431.4534513000108,3320709120,3697278976
4,bf16,0.12619001001454813,0.6639472272045861,0.7901372369463429,0.0362371665673397,0.89592618227005,0.9321633475167411,0.6349235302371264,0.46511938656991025,0.6821073258968948,0.5938451443569553,0.0003,0.0003,0.4967188288743059,496,496,0,0,0,0,0,0,False,,,1.0,20.139799118041992,20.139799118041992,1.0,15.5625,14.125,431.1739501999982,3320709120,3697278976
5,bf16,0.16014545833973975,0.45362998168315627,0.6137754385787871,0.03888437614573864,0.4106475251061576,0.44953189930745535,0.6347336791250124,0.46491565009691077,0.5869709418670115,0.6909580052493438,0.0003,0.0003,0.4936900555275114,496,496,0,0,0,0,0,0,False,,,1.0,97.46369171142578,97.46369171142578,1.0,23.25,27.0,424.79040139999415,3320709120,3697278976
6,bf16,0.1708215697112954,0.2785161056944603,0.4493376748830998,0.08940659244283436,0.06307912009102958,0.15248571523598262,0.6260627177700349,0.4556705214039359,0.8341234298197706,0.5010761154855643,0.0003,0.0003,0.48813730439172137,496,496,0,0,0,0,0,0,False,,,1.0,64.74742889404297,64.74742889404297,1.0000001192092896,55.5,19.5,430.76435520000814,3320709120,3697278976
7,bf16,0.16085906235750147,0.21937088320075954,0.3802299445306018,0.01867714993071584,0.12425189971923828,0.1429290500123586,0.800760852606385,0.6677240768421635,0.8103345180427436,0.7914107611548556,0.0003,0.0003,0.49318525996971224,496,496,0,0,0,0,0,0,False,,,1.0,229.3457794189453,229.3457794189453,1.0000001192092896,23.125,22.375,424.0526258000027,3320709120,3697278976
8,bf16,0.10538647218874496,0.213488995246608,0.3188754673248015,0.04813987678081687,0.10142031329018729,0.14956019005605153,0.6644653598148774,0.4975276116557889,0.7892974173339231,0.5737270341207349,0.0003,0.0003,0.48864209994952046,496,496,0,0,0,0,0,0,False,,,1.0,134.45069885253906,134.45069885253906,1.0,21.375,19.375,419.50055260000227,3320709120,3697278976
9,bf16,0.1259331367309675,0.22918016915968847,0.3551133050836467,0.08654419682223423,0.07156303133283343,0.15810722552505987,0.6329715162073227,0.4630273060962194,0.7314097931936272,0.5578871391076116,0.0003,0.0003,0.5063099444724887,496,496,0,0,0,0,0,0,False,,,1.0,94.02828216552734,94.02828216552734,1.0000001192092896,24.375,21.875,419.05105300000287,3320709120,3697278976
10,bf16,0.09457997577245904,0.2049619264821703,0.29954190246933854,0.05349628066954383,0.13366484982626778,0.18716113159166914,0.6532788477284759,0.4850884287564547,0.7784564836581137,0.5627821522309712,0.0003,0.00015,0.4967188288743059,496,496,0,0,0,0,0,0,False,,,1.0,177.02391052246094,177.02391052246094,1.0,21.125,19.5,421.55949139999575,3320709120,3697278976
11,bf16,0.081011562366305,0.16527421714560303,0.24628577997962295,0.025614166123228962,0.08514778000967843,0.11076194672446166,0.777700283628586,0.6362598904443092,0.8547695984778797,0.7133792650918636,0.00015,0.00015,0.5032811711256941,496,496,0,0,0,0,0,0,False,,,1.0,155.70730590820312,155.70730590820312,1.0000001192092896,21.875,21.625,428.855040800001,3320709120,3697278976
12,bf16,0.08587661224207227,0.16329744360412027,0.24917405602559334,0.018961017633286028,0.09543734277997698,0.11439836029495512,0.75957508950752,0.6123507219844121,0.7597670739152984,0.7593832020997375,0.00015,0.00015,0.49570923775870773,496,496,0,0,0,0,0,0,False,,,1.0,240.32261657714844,240.32261657714844,1.0,22.0,21.625,428.1096549000067,3320709120,3697278976
