sample_id,index,has_defect,dice,true_positive_pixels,false_positive_pixels,false_negative_pixels,predicted_pixels,valid_pixels,predicted_fraction,image_probability
train-10012,0,0,1.0,0,0,0,0,146970,0.0,1.2878952020400902e-06
train-10013,1,0,1.0,0,0,0,0,147018,0.0,9.132548370871518e-07
train-10019,2,0,1.0,0,0,0,0,145858,0.0,1.5534977819697815e-06
train-10024,3,0,1.0,0,0,0,0,144440,0.0,8.990961077870452e-07
train-10026,4,0,1.0,0,0,0,0,147247,0.0,1.1454778814368183e-06
train-10030,5,0,1.0,0,0,0,0,147784,0.0,7.338210252783028e-07
train-10032,6,0,1.0,0,0,0,0,147288,0.0,1.3709573067899328e-06
train-10036,7,0,1.0,0,0,0,0,148302,0.0,9.721546803120873e-07
train-10038,8,0,1.0,0,0,0,0,145692,0.0,8.990961077870452e-07
train-10043,9,0,1.0,0,0,0,0,149457,0.0,1.3287773299452965e-06
train-10052,10,0,1.0,0,0,0,0,145299,0.0,8.646522928756895e-07
train-10061,11,0,1.0,0,0,0,0,146510,0.0,1.051149638442439e-06
train-10073,12,0,1.0,0,0,0,0,143412,0.0,9.874637498796801e-07
train-10076,13,0,1.0,0,0,0,0,144728,0.0,1.191108481179981e-06
train-10080,14,0,1.0,0,0,0,0,146510,0.0,1.1015954441973008e-06
train-10081,15,0,1.0,0,0,0,0,147060,0.0,1.0429696430946933e-06
train-10082,16,0,1.0,0,0,0,0,145530,0.0,1.0593939805403352e-06
train-10102,17,0,1.0,0,0,0,0,147147,0.0,1.0267999641655479e-06
train-10109,18,0,1.0,0,0,0,0,148071,0.0,1.0677027830752195e-06
train-10116,19,0,1.0,0,0,0,0,144957,0.0,9.721546803120873e-07
train-10125,20,0,1.0,0,0,0,0,146148,0.0,1.2098656725356705e-06
train-10126,21,0,1.0,0,0,0,0,144552,0.0,1.8448236005497165e-06
train-10129,22,0,1.0,0,0,0,0,146856,0.0,8.851569646139978e-07
train-10130,23,0,1.0,0,0,0,0,145415,0.0,1.051149638442439e-06
train-10134,24,0,1.0,0,0,0,0,145236,0.0,2.156816663045902e-06
train-10144,25,0,1.0,0,0,0,0,147840,0.0,1.414475946148741e-06
train-10150,26,0,1.0,0,0,0,0,144957,0.0,8.57923566854879e-07
train-10156,27,0,1.0,0,0,0,0,136728,0.0,8.990961077870452e-07
train-10168,28,0,1.0,0,0,0,0,144096,0.0,1.0188092574026086e-06
train-10172,29,0,1.0,0,0,0,0,148392,0.0,9.061477612704039e-07
train-10175,30,0,1.0,0,0,0,0,146331,0.0,1.2098656725356705e-06
train-10178,31,0,1.0,0,0,0,0,144728,0.0,1.5656819414289203e-06
train-10179,32,0,1.0,0,0,0,0,146050,0.0,1.4034685591468588e-06
train-10184,33,0,1.0,0,0,0,0,146392,0.0,1.4593761079595424e-06
train-10188,34,0,1.0,0,0,0,0,148480,0.0,1.2193548855066183e-06
train-10190,35,0,1.0,0,0,0,0,146685,0.0,9.276364494326117e-07
train-10195,36,0,1.0,0,0,0,0,143583,0.0,1.2979963912584935e-06
train-10199,37,0,1.0,0,0,0,0,144440,0.0,1.4255698488341295e-06
train-10200,38,0,1.0,0,0,0,0,145186,0.0,1.9485219127091113e-06
