sample_id,official_split,development_split,image_path,mask_path,image_width,image_height,bbox_x_min,bbox_y_min,bbox_x_max,bbox_y_max,bbox_width,bbox_height,mask_pixels,mask_fraction,connected_components,touches_border,fits_256x256_context0,fits_256x256_context16,fits_256x256_context32,fits_256x384_context0,fits_256x384_context16,fits_256x384_context32,fits_256x512_context0,fits_256x512_context16,fits_256x512_context32
train-10021,train,train,data/extracted/KolektorSDD2/train/10021.png,data/extracted/KolektorSDD2/train/10021_GT.png,228,649,0,0,66,98,67,99,3346,0.022612386127105127,1,True,True,True,True,True,True,True,True,True,True
train-10028,train,train,data/extracted/KolektorSDD2/train/10028.png,data/extracted/KolektorSDD2/train/10028_GT.png,229,643,33,290,114,325,82,36,989,0.00671660543168961,1,False,True,True,True,True,True,True,True,True,True
train-10045,train,train,data/extracted/KolektorSDD2/train/10045.png,data/extracted/KolektorSDD2/train/10045_GT.png,211,638,182,535,188,539,7,5,23,0.00017085382341143086,1,False,True,True,True,True,True,True,True,True,True
train-10047,train,train,data/extracted/KolektorSDD2/train/10047.png,data/extracted/KolektorSDD2/train/10047_GT.png,231,637,0,430,187,636,188,207,19713,0.13396807274358294,1,True,True,True,False,True,True,True,True,True,True
train-10057,train,train,data/extracted/KolektorSDD2/train/10057.png,data/extracted/KolektorSDD2/train/10057_GT.png,230,640,57,355,98,415,42,61,1713,0.011637228260869565,1,False,True,True,True,True,True,True,True,True,True
train-10060,train,train,data/extracted/KolektorSDD2/train/10060.png,data/extracted/KolektorSDD2/train/10060_GT.png,228,637,53,0,105,48,53,49,1349,0.009288330716902146,1,True,True,True,True,True,True,True,True,True,True
train-10065,train,train,data/extracted/KolektorSDD2/train/10065.png,data/extracted/KolektorSDD2/train/10065_GT.png,229,641,72,203,139,268,68,66,2527,0.017215186424050847,1,False,True,True,True,True,True,True,True,True,True
train-10084,train,train,data/extracted/KolektorSDD2/train/10084.png,data/extracted/KolektorSDD2/train/10084_GT.png,231,619,198,106,221,178,24,73,644,0.004503842952954423,1,False,True,True,True,True,True,True,True,True,True
train-10090,train,train,data/extracted/KolektorSDD2/train/10090.png,data/extracted/KolektorSDD2/train/10090_GT.png,230,637,0,571,43,593,44,23,488,0.0033308306600232066,1,True,True,True,True,True,True,True,True,True,True
train-10135,train,train,data/extracted/KolektorSDD2/train/10135.png,data/extracted/KolektorSDD2/train/10135_GT.png,230,646,8,56,76,158,69,103,3376,0.022721766051958543,1,False,True,True,True,True,True,True,True,True,True
train-10145,train,train,data/extracted/KolektorSDD2/train/10145.png,data/extracted/KolektorSDD2/train/10145_GT.png,230,636,45,532,79,577,35,46,1045,0.007143833743505606,1,False,True,True,True,True,True,True,True,True,True
train-10157,train,train,data/extracted/KolektorSDD2/train/10157.png,data/extracted/KolektorSDD2/train/10157_GT.png,231,649,0,0,61,149,62,150,7073,0.0471788098906743,1,True,True,True,True,True,True,True,True,True,True
train-10159,train,train,data/extracted/KolektorSDD2/train/10159.png,data/extracted/KolektorSDD2/train/10159_GT.png,229,646,22,77,130,342,109,266,5895,0.03984885151486474,1,False,False,False,False,True,True,True,True,True,True
train-10201,train,train,data/extracted/KolektorSDD2/train/10201.png,data/extracted/KolektorSDD2/train/10201_GT.png,229,639,0,262,123,419,124,158,9025,0.06167524311321593,1,True,True,True,True,True,True,True,True,True,True
train-10206,train,train,data/extracted/KolektorSDD2/train/10206.png,data/extracted/KolektorSDD2/train/10206_GT.png,231,641,14,0,87,260,74,261,7758,0.052393784063050834,1,True,False,False,False,True,True,True,True,True,True
train-10208,train,train,data/extracted/KolektorSDD2/train/10208.png,data/extracted/KolektorSDD2/train/10208_GT.png,228,627,57,474,192,564,136,91,4451,0.03113545426564817,1,False,True,True,True,True,True,True,True,True,True
train-10223,train,train,data/extracted/KolektorSDD2/train/10223.png,data/extracted/KolektorSDD2/train/10223_GT.png,231,648,30,238,155,340,126,103,1475,0.009853829298273742,1,False,True,True,True,True,True,True,True,True,True
